o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority
2443,625,F,94603.16,1996-09-25,3-MEDIUM
2444,780,P,64502.71,1992-01-28,2-HIGH
2445,95,F,80745.28,1997-05-24,4-NOT SPECIFIED
2446,740,F,86271.02,1997-02-28,4-NOT SPECIFIED
2447,357,O,30232.42,1992-12-22,1-URGENT
2448,903,F,73946.79,1997-03-09,4-NOT SPECIFIED
2449,793,P,96632.44,1997-05-01,2-HIGH
2450,763,F,34524.8,1993-04-11,5-LOW
2451,803,O,50239.61,1993-02-11,4-NOT SPECIFIED
2452,13,O,3606.33,1998-10-16,5-LOW
2453,927,O,55856.11,1995-02-25,3-MEDIUM
2454,286,F,78252.43,1995-07-20,2-HIGH
2455,421,F,57392.17,1998-01-15,5-LOW
2456,740,O,74063.33,1995-03-18,5-LOW
2457,737,F,53089.76,1998-07-05,3-MEDIUM
2458,365,P,5895.12,1996-12-14,5-LOW
2459,733,O,54488.12,1995-04-17,5-LOW
2460,310,O,36972.39,1998-03-24,5-LOW
2461,603,P,66740.97,1992-03-12,4-NOT SPECIFIED
2462,21,F,31295.26,1998-08-11,2-HIGH
2463,154,P,72972.97,1993-01-13,2-HIGH
2464,228,F,49237.53,1998-11-28,1-URGENT
2465,602,F,66743.97,1993-05-14,5-LOW
2466,530,F,42757.22,1998-10-14,1-URGENT
2467,866,O,42901.74,1995-07-23,4-NOT SPECIFIED
2468,304,P,15538.86,1993-08-16,5-LOW
2469,283,O,67850.55,1992-04-28,5-LOW
2470,861,F,61134.36,1995-06-01,3-MEDIUM
2471,466,O,8028.64,1993-09-15,1-URGENT
2472,119,O,41619.26,1998-04-10,3-MEDIUM
2473,151,P,36904.09,1998-09-05,1-URGENT
2474,159,O,46072.1,1997-01-16,3-MEDIUM
2475,203,P,55318.98,1993-12-01,5-LOW
2476,25,O,64066.05,1993-04-13,4-NOT SPECIFIED
2477,163,O,21128.11,1996-09-14,5-LOW
2478,485,F,45069.98,1995-12-20,5-LOW
2479,916,O,94512.19,1996-09-13,5-LOW
2480,37,F,89238.36,1995-05-22,2-HIGH
2481,386,P,26886.57,1996-06-20,2-HIGH
2482,885,O,95515.62,1998-12-01,3-MEDIUM
2483,282,P,45143.31,1997-12-26,1-URGENT
2484,568,F,1581.28,1995-12-16,1-URGENT
2485,1000,O,3508.58,1997-03-01,4-NOT SPECIFIED
2486,890,O,60338.51,1994-11-24,3-MEDIUM
2487,657,O,51886.2,1996-11-26,1-URGENT
2488,776,P,15021.24,1993-09-22,1-URGENT
2489,368,P,97520.37,1994-03-24,5-LOW
2490,247,F,39307.14,1997-12-09,3-MEDIUM
2491,121,O,9686.55,1997-02-23,2-HIGH
2492,469,P,66860.28,1993-08-12,5-LOW
2493,583,P,95920.79,1992-09-25,2-HIGH
2494,809,F,57115.15,1993-03-23,4-NOT SPECIFIED
2495,455,P,31503.91,1992-01-02,3-MEDIUM
2496,817,F,82853.41,1994-09-10,4-NOT SPECIFIED
2497,563,O,29117.43,1997-07-06,1-URGENT
2498,149,F,12381.2,1997-09-10,4-NOT SPECIFIED
2499,586,O,30939.56,1998-08-02,2-HIGH
2500,632,P,81077.47,1992-04-03,4-NOT SPECIFIED
2501,349,P,37354.65,1994-12-27,5-LOW
2502,44,P,31161.06,1998-01-02,5-LOW
2503,857,F,63439.42,1994-03-03,2-HIGH
2504,535,F,32342.22,1992-12-09,4-NOT SPECIFIED
2505,42,P,40143.78,1994-01-04,1-URGENT
2506,97,O,49092.02,1995-08-21,4-NOT SPECIFIED
2507,177,F,29049.71,1996-03-09,4-NOT SPECIFIED
2508,649,O,27457.85,1995-11-27,1-URGENT
2509,794,F,20405.71,1993-10-10,3-MEDIUM
2510,605,P,42645.77,1992-11-11,4-NOT SPECIFIED
2511,359,P,94933.97,1998-10-16,4-NOT SPECIFIED
2512,897,F,32998.93,1994-02-03,3-MEDIUM
2513,127,F,80331.61,1994-02-10,1-URGENT
2514,230,F,80707.56,1994-10-20,3-MEDIUM
2515,901,F,48107.66,1996-03-16,5-LOW
2516,810,P,37797.2,1996-07-20,4-NOT SPECIFIED
2517,22,F,24775.74,1995-06-03,1-URGENT
2518,52,F,59048.41,1998-10-15,5-LOW
2519,475,P,35505.04,1997-10-15,3-MEDIUM
2520,262,F,95701.88,1998-10-14,4-NOT SPECIFIED
2521,869,F,15703.31,1998-04-07,4-NOT SPECIFIED
2522,624,O,32233.99,1993-08-07,3-MEDIUM
2523,539,F,32752.41,1992-10-04,5-LOW
2524,20,P,86215.68,1996-02-14,3-MEDIUM
2525,839,O,22441.51,1997-11-02,3-MEDIUM
2526,197,F,62863.79,1993-06-14,4-NOT SPECIFIED
2527,936,F,13099.04,1994-04-04,3-MEDIUM
2528,345,P,73042.98,1997-07-13,5-LOW
2529,23,O,92949.17,1996-05-07,5-LOW
2530,290,O,70434.23,1997-05-26,5-LOW
2531,639,F,77133.83,1996-11-07,2-HIGH
2532,542,P,9016.38,1996-07-09,5-LOW
2533,834,O,20694.41,1992-05-12,3-MEDIUM
2534,674,F,5246.0,1992-03-09,2-HIGH
2535,312,P,36961.19,1995-05-21,3-MEDIUM
2536,272,P,61470.01,1995-10-27,3-MEDIUM
2537,621,O,16367.63,1995-12-06,3-MEDIUM
2538,125,P,46777.81,1992-06-04,1-URGENT
2539,247,P,80935.52,1992-10-02,5-LOW
2540,292,F,81301.59,1993-01-14,5-LOW
2541,878,P,79000.79,1995-01-02,5-LOW
2542,228,F,71391.18,1992-09-24,3-MEDIUM
2543,125,P,28037.58,1996-08-22,4-NOT SPECIFIED
2544,317,P,8032.5,1993-08-12,5-LOW
2545,28,O,9452.73,1994-01-13,5-LOW
2546,370,P,69931.32,1996-01-17,4-NOT SPECIFIED
2547,932,P,78747.71,1994-02-13,4-NOT SPECIFIED
2548,415,P,39420.31,1996-08-28,4-NOT SPECIFIED
2549,279,P,62345.42,1992-09-22,4-NOT SPECIFIED
2550,483,O,2557.87,1996-12-07,3-MEDIUM
2551,818,P,30785.66,1996-05-11,5-LOW
2552,766,P,74638.07,1994-11-26,1-URGENT
2553,882,O,4769.82,1995-09-23,1-URGENT
2554,741,P,22065.02,1994-11-03,3-MEDIUM
2555,158,F,48580.5,1992-07-19,2-HIGH
2556,195,P,57448.2,1995-08-17,2-HIGH
2557,257,P,27124.74,1996-03-12,4-NOT SPECIFIED
2558,383,O,24533.25,1994-05-01,2-HIGH
2559,840,P,11830.48,1994-06-03,1-URGENT
2560,365,P,23498.25,1998-05-17,1-URGENT
2561,429,P,12714.22,1996-09-13,2-HIGH
2562,215,F,25524.24,1992-05-07,4-NOT SPECIFIED
2563,430,O,12026.67,1992-09-27,1-URGENT
2564,51,O,97877.4,1996-12-25,2-HIGH
2565,475,F,91427.98,1996-05-27,1-URGENT
2566,536,P,86594.27,1995-03-21,1-URGENT
2567,524,F,73537.31,1998-11-26,4-NOT SPECIFIED
2568,603,O,55396.59,1997-09-07,2-HIGH
2569,295,P,86275.56,1996-08-11,2-HIGH
2570,328,F,23555.66,1992-01-19,1-URGENT
2571,553,O,74641.41,1992-10-25,4-NOT SPECIFIED
2572,418,O,16523.58,1994-04-11,5-LOW
2573,587,P,78609.32,1993-04-05,5-LOW
2574,300,O,38710.22,1992-01-05,1-URGENT
2575,880,F,11640.93,1994-08-04,1-URGENT
2576,566,O,31881.5,1992-08-23,5-LOW
2577,114,P,63830.01,1996-05-11,5-LOW
2578,674,P,96554.53,1993-12-28,1-URGENT
2579,738,P,89198.1,1993-01-23,5-LOW
2580,857,F,30822.23,1998-05-26,4-NOT SPECIFIED
2581,809,F,39618.45,1992-04-11,2-HIGH
2582,924,O,91675.53,1995-06-03,1-URGENT
2583,845,P,82732.51,1995-06-27,5-LOW
2584,125,F,27046.0,1994-05-23,4-NOT SPECIFIED
2585,53,F,18473.37,1992-03-20,3-MEDIUM
2586,147,F,4546.24,1995-04-15,2-HIGH
2587,685,F,84513.35,1992-03-02,2-HIGH
2588,141,F,12068.59,1992-11-11,3-MEDIUM
2589,724,O,73802.99,1993-03-05,2-HIGH
2590,109,O,69534.78,1992-08-22,2-HIGH
2591,764,F,51035.98,1997-12-14,2-HIGH
2592,303,P,5972.64,1997-01-06,4-NOT SPECIFIED
2593,495,O,94349.66,1998-01-18,3-MEDIUM
2594,799,P,1144.97,1992-06-11,1-URGENT
2595,206,F,31877.22,1998-10-25,3-MEDIUM
2596,14,P,85490.17,1994-03-22,1-URGENT
2597,1,P,13435.75,1997-12-01,3-MEDIUM
2598,578,F,20449.46,1994-02-01,5-LOW
2599,1000,O,53032.93,1992-10-19,4-NOT SPECIFIED
2600,259,F,76609.0,1994-07-07,2-HIGH
2601,251,O,64801.21,1998-06-16,1-URGENT
2602,106,F,93457.69,1998-06-20,5-LOW
2603,402,O,74725.34,1997-08-06,2-HIGH
2604,104,O,98861.61,1993-04-02,3-MEDIUM
2605,727,O,82905.02,1996-03-21,4-NOT SPECIFIED
2606,357,F,26748.13,1995-12-09,3-MEDIUM
2607,115,P,92205.63,1998-11-15,2-HIGH
2608,214,O,43296.83,1995-08-14,5-LOW
2609,605,F,97797.77,1997-05-07,4-NOT SPECIFIED
2610,179,O,32628.44,1992-10-22,5-LOW
2611,282,P,45579.72,1997-08-02,2-HIGH
2612,825,P,45834.92,1995-07-21,1-URGENT
2613,861,P,95069.28,1993-06-06,5-LOW
2614,560,O,53492.9,1993-06-14,1-URGENT
2615,200,P,25973.4,1995-04-16,5-LOW
2616,300,P,9747.56,1997-05-09,5-LOW
2617,27,O,82694.39,1996-05-14,3-MEDIUM
2618,274,O,72238.74,1992-05-13,3-MEDIUM
2619,33,O,92357.82,1993-02-28,2-HIGH
2620,695,O,33440.63,1993-02-22,5-LOW
2621,925,O,93322.49,1996-08-21,1-URGENT
2622,167,P,84883.14,1995-10-06,5-LOW
2623,638,P,87073.09,1998-10-13,3-MEDIUM
2624,585,O,23459.46,1995-07-15,4-NOT SPECIFIED
2625,348,F,40377.16,1994-11-12,1-URGENT
2626,384,P,81192.29,1998-09-28,1-URGENT
2627,514,F,52351.97,1998-05-07,3-MEDIUM
2628,714,F,75326.03,1993-07-13,1-URGENT
2629,2,F,67119.97,1993-09-05,5-LOW
2630,673,F,65316.46,1993-07-02,2-HIGH
2631,930,O,94708.11,1992-08-21,4-NOT SPECIFIED
2632,20,P,23041.56,1997-07-09,1-URGENT
2633,355,F,83527.22,1993-07-02,4-NOT SPECIFIED
2634,64,F,40956.79,1994-12-09,1-URGENT
2635,961,O,24128.88,1992-03-24,5-LOW
2636,372,P,21009.75,1996-06-14,5-LOW
2637,608,P,70079.56,1997-06-03,5-LOW
2638,137,O,2320.01,1996-10-21,1-URGENT
2639,988,F,8666.1,1997-03-19,3-MEDIUM
2640,369,F,42024.35,1997-01-12,4-NOT SPECIFIED
2641,997,F,51271.3,1997-09-09,3-MEDIUM
2642,27,P,98217.21,1998-10-26,3-MEDIUM
2643,746,O,28041.25,1996-04-20,1-URGENT
2644,230,F,91233.31,1993-01-28,2-HIGH
2645,196,F,10145.82,1998-05-28,5-LOW
2646,776,P,34758.14,1995-06-06,4-NOT SPECIFIED
2647,560,F,79669.25,1992-01-19,1-URGENT
2648,648,F,11029.93,1998-02-26,1-URGENT
2649,572,P,84933.02,1994-01-12,2-HIGH
2650,844,F,30750.42,1993-02-21,4-NOT SPECIFIED
2651,982,P,30905.12,1996-05-18,2-HIGH
2652,606,F,59097.8,1993-08-09,1-URGENT
2653,507,F,47383.02,1992-05-15,5-LOW
2654,157,O,13752.21,1992-01-25,2-HIGH
2655,602,O,89298.14,1992-08-20,3-MEDIUM
2656,526,F,32177.39,1996-03-22,5-LOW
2657,403,P,69032.39,1997-08-24,1-URGENT
2658,605,O,71993.33,1998-07-11,2-HIGH
2659,712,O,15765.52,1997-05-13,5-LOW
2660,665,O,73492.34,1998-04-28,3-MEDIUM
2661,435,O,12816.98,1994-09-23,3-MEDIUM
2662,965,P,36497.96,1993-11-06,1-URGENT
2663,893,P,64587.04,1996-08-11,4-NOT SPECIFIED
2664,385,F,48814.36,1994-08-04,5-LOW
2665,292,F,65979.47,1995-01-24,1-URGENT
2666,432,P,80149.05,1997-08-10,1-URGENT
2667,814,F,42079.72,1998-08-22,2-HIGH
2668,640,O,20363.87,1997-09-26,5-LOW
2669,392,O,15702.59,1998-05-28,4-NOT SPECIFIED
2670,470,O,38002.35,1995-11-18,3-MEDIUM
2671,700,P,31816.91,1997-06-21,4-NOT SPECIFIED
2672,992,F,71239.5,1996-02-07,5-LOW
2673,191,P,84761.88,1994-07-01,3-MEDIUM
2674,890,O,50857.27,1996-08-13,2-HIGH
2675,197,P,51063.42,1997-10-07,1-URGENT
2676,518,F,41991.31,1994-03-28,2-HIGH
2677,926,F,48825.72,1996-10-09,2-HIGH
2678,254,P,31844.79,1997-07-25,5-LOW
2679,570,F,54561.12,1993-07-07,1-URGENT
2680,774,O,1777.85,1994-03-17,4-NOT SPECIFIED
2681,268,O,7573.23,1997-03-08,1-URGENT
2682,835,O,56449.55,1994-02-01,2-HIGH
2683,852,O,50309.46,1997-07-19,3-MEDIUM
2684,301,O,9332.77,1996-04-05,3-MEDIUM
2685,333,P,83771.7,1994-05-15,2-HIGH
2686,509,O,55259.54,1995-01-21,3-MEDIUM
2687,262,P,83740.28,1993-01-21,4-NOT SPECIFIED
2688,707,P,94154.41,1997-05-04,5-LOW
2689,24,P,44248.78,1996-01-28,2-HIGH
2690,760,F,68855.33,1994-08-22,1-URGENT
2691,256,O,6913.25,1994-11-06,5-LOW
2692,245,P,50693.15,1992-03-17,3-MEDIUM
2693,949,F,94242.76,1994-08-20,4-NOT SPECIFIED
2694,444,F,99289.63,1996-09-04,5-LOW
2695,15,P,35259.63,1995-12-13,4-NOT SPECIFIED
2696,633,O,66072.36,1997-10-27,4-NOT SPECIFIED
2697,977,O,29136.25,1997-10-22,1-URGENT
2698,885,P,41941.58,1995-10-20,5-LOW
2699,10,F,30243.75,1992-03-25,5-LOW
2700,566,P,45709.29,1993-04-19,1-URGENT
2701,708,O,65409.0,1997-01-22,1-URGENT
2702,961,F,24714.71,1994-12-11,4-NOT SPECIFIED
2703,14,O,94148.43,1997-06-15,1-URGENT
2704,777,F,93277.48,1994-08-24,3-MEDIUM
2705,390,F,67261.31,1998-05-16,1-URGENT
2706,218,F,28914.58,1996-03-11,1-URGENT
2707,395,F,69680.23,1996-06-15,2-HIGH
2708,209,P,99636.65,1993-08-06,5-LOW
2709,728,F,37346.96,1992-06-14,2-HIGH
2710,977,F,56334.25,1992-10-12,4-NOT SPECIFIED
2711,319,O,61029.63,1998-04-17,4-NOT SPECIFIED
2712,391,O,77816.25,1994-09-10,5-LOW
2713,984,O,95589.62,1997-07-28,4-NOT SPECIFIED
2714,290,P,63493.52,1996-01-02,1-URGENT
2715,729,F,4888.57,1998-10-21,2-HIGH
2716,183,P,25193.53,1998-10-20,5-LOW
2717,935,O,3833.44,1995-11-14,4-NOT SPECIFIED
2718,507,F,32518.78,1994-05-26,1-URGENT
2719,869,O,85386.25,1992-12-17,1-URGENT
2720,812,O,38342.15,1993-09-15,2-HIGH
2721,90,O,38509.01,1995-01-09,4-NOT SPECIFIED
2722,938,F,46263.77,1995-05-08,3-MEDIUM
2723,468,P,90426.75,1995-09-03,3-MEDIUM
2724,496,P,22070.6,1995-07-09,3-MEDIUM
2725,112,F,57652.25,1994-03-06,1-URGENT
2726,840,O,12432.94,1997-12-26,3-MEDIUM
2727,754,P,9770.94,1992-08-04,5-LOW
2728,260,O,1258.35,1994-11-15,3-MEDIUM
2729,188,O,77397.07,1994-04-15,5-LOW
2730,691,O,27320.88,1998-07-03,2-HIGH
2731,914,F,25024.76,1995-05-01,3-MEDIUM
2732,419,O,60835.96,1995-06-14,4-NOT SPECIFIED
2733,762,P,4286.53,1994-07-12,4-NOT SPECIFIED
2734,276,P,40638.27,1995-02-03,4-NOT SPECIFIED
2735,357,P,39810.08,1992-03-26,4-NOT SPECIFIED
2736,940,F,37948.92,1995-10-01,3-MEDIUM
2737,287,O,91091.25,1997-08-02,3-MEDIUM
2738,447,F,72810.33,1995-09-22,1-URGENT
2739,592,P,16791.04,1995-08-02,1-URGENT
2740,631,P,65978.98,1998-09-19,3-MEDIUM
2741,571,F,31387.04,1993-08-01,3-MEDIUM
2742,682,P,3979.2,1998-03-27,4-NOT SPECIFIED
2743,911,P,73500.21,1996-02-21,2-HIGH
2744,18,O,34259.52,1995-02-28,3-MEDIUM
2745,415,O,72772.91,1992-08-12,2-HIGH
2746,782,F,89332.67,1994-09-05,5-LOW
2747,865,P,63243.55,1993-06-02,5-LOW
2748,108,F,60539.0,1997-11-27,2-HIGH
2749,356,P,65808.72,1996-03-11,3-MEDIUM
2750,370,O,31409.35,1998-01-09,4-NOT SPECIFIED
2751,366,O,13051.08,1994-10-22,4-NOT SPECIFIED
2752,667,F,35647.86,1998-08-15,2-HIGH
2753,910,F,78792.15,1992-04-12,3-MEDIUM
2754,73,O,86508.09,1995-08-07,5-LOW
2755,145,P,51390.54,1992-07-08,2-HIGH
2756,14,P,91511.75,1996-05-26,5-LOW
2757,869,F,67388.39,1994-01-05,2-HIGH
2758,89,F,50561.28,1992-02-18,5-LOW
2759,836,F,7501.4,1998-10-28,1-URGENT
2760,118,F,78852.62,1996-10-27,4-NOT SPECIFIED
2761,968,O,56541.44,1994-01-13,4-NOT SPECIFIED
2762,269,O,79814.9,1998-06-12,5-LOW
2763,821,P,44873.75,1995-11-13,4-NOT SPECIFIED
2764,111,O,15921.13,1995-02-28,5-LOW
2765,937,O,2702.95,1997-01-13,2-HIGH
2766,533,O,27144.06,1995-12-24,5-LOW
2767,352,F,69470.61,1995-06-13,2-HIGH
2768,701,O,76389.07,1998-01-12,1-URGENT
2769,620,F,73549.87,1998-02-12,1-URGENT
2770,324,P,60510.83,1997-11-24,5-LOW
2771,451,F,67126.63,1998-02-03,3-MEDIUM
2772,439,F,81461.88,1997-03-12,1-URGENT
2773,542,O,82695.79,1998-04-18,5-LOW
2774,482,F,81385.05,1993-01-05,5-LOW
2775,413,O,8226.24,1994-06-24,5-LOW
2776,943,F,94797.69,1994-06-05,1-URGENT
2777,163,P,2541.1,1996-07-06,2-HIGH
2778,540,O,48013.36,1992-11-27,1-URGENT
2779,74,O,81236.42,1996-06-07,5-LOW
2780,502,F,87901.4,1995-03-26,1-URGENT
2781,680,F,7457.51,1995-03-24,3-MEDIUM
2782,58,F,99910.44,1997-07-13,5-LOW
2783,91,O,43596.37,1994-06-07,4-NOT SPECIFIED
2784,298,O,38359.11,1994-10-01,3-MEDIUM
2785,284,F,95561.17,1992-06-12,5-LOW
2786,676,O,80994.98,1994-02-26,3-MEDIUM
2787,14,O,56721.45,1997-11-01,2-HIGH
2788,980,P,27414.63,1992-07-18,2-HIGH
2789,325,P,49014.83,1995-09-01,1-URGENT
2790,846,O,15899.95,1993-01-09,1-URGENT
2791,375,F,16952.83,1993-08-16,3-MEDIUM
2792,666,P,98094.81,1995-05-19,5-LOW
2793,736,O,55476.35,1993-09-08,4-NOT SPECIFIED
2794,124,F,15593.64,1997-02-12,4-NOT SPECIFIED
2795,5,P,68870.68,1992-08-23,1-URGENT
2796,281,O,16968.18,1997-05-05,4-NOT SPECIFIED
2797,348,F,8658.06,1993-10-19,3-MEDIUM
2798,157,P,98800.41,1998-02-19,5-LOW
2799,474,P,22639.09,1993-06-10,1-URGENT
2800,400,F,52818.65,1993-08-08,2-HIGH
2801,830,O,24597.75,1998-10-07,2-HIGH
2802,280,F,59422.3,1992-10-22,3-MEDIUM
2803,115,P,75030.45,1994-10-15,5-LOW
2804,552,P,33416.4,1992-10-04,3-MEDIUM
2805,616,P,40384.38,1993-05-14,2-HIGH
2806,615,O,84631.31,1993-08-03,2-HIGH
2807,293,P,75452.17,1992-12-16,1-URGENT
2808,208,F,21476.27,1992-01-25,4-NOT SPECIFIED
2809,323,P,65610.17,1997-12-05,4-NOT SPECIFIED
2810,250,P,47681.52,1997-11-06,3-MEDIUM
2811,651,P,66296.35,1997-01-20,1-URGENT
2812,180,P,52814.37,1993-08-04,2-HIGH
2813,82,P,50881.86,1992-07-24,3-MEDIUM
2814,19,F,30549.12,1996-12-22,3-MEDIUM
2815,28,O,51666.51,1996-03-22,1-URGENT
2816,534,O,4339.27,1996-05-06,4-NOT SPECIFIED
2817,170,F,38894.37,1992-03-18,1-URGENT
2818,854,F,59653.59,1992-10-10,4-NOT SPECIFIED
2819,403,F,57643.18,1995-01-16,1-URGENT
2820,513,F,78333.56,1994-03-17,3-MEDIUM
2821,626,F,48462.41,1992-08-13,2-HIGH
2822,876,P,14221.2,1998-12-27,1-URGENT
2823,941,P,32705.93,1992-12-27,4-NOT SPECIFIED
2824,36,P,40701.79,1996-09-14,4-NOT SPECIFIED
2825,296,F,63488.89,1995-10-07,3-MEDIUM
2826,341,O,73382.1,1994-12-13,5-LOW
2827,721,P,87215.55,1994-06-16,3-MEDIUM
2828,178,P,62817.39,1995-05-14,4-NOT SPECIFIED
2829,983,P,76115.2,1995-05-05,1-URGENT
2830,224,P,22740.43,1996-03-26,2-HIGH
2831,43,P,9651.16,1993-06-25,2-HIGH
2832,530,F,81285.22,1992-02-21,1-URGENT
2833,388,O,60948.23,1994-09-05,3-MEDIUM
2834,251,P,30821.98,1992-02-17,4-NOT SPECIFIED
2835,754,O,60218.49,1998-05-24,5-LOW
2836,338,F,47128.19,1994-03-03,1-URGENT
2837,575,P,78910.67,1994-08-28,5-LOW
2838,164,P,84805.84,1997-02-01,3-MEDIUM
2839,277,F,16062.13,1992-12-09,5-LOW
2840,920,P,59970.56,1997-05-22,3-MEDIUM
2841,584,P,39786.75,1996-04-28,4-NOT SPECIFIED
2842,54,F,43360.7,1994-11-25,4-NOT SPECIFIED
2843,473,F,22308.34,1997-08-03,5-LOW
2844,630,O,87890.65,1997-02-10,3-MEDIUM
2845,121,P,26113.9,1998-06-27,3-MEDIUM
2846,608,O,62014.31,1994-11-16,5-LOW
2847,532,F,56671.55,1993-05-01,3-MEDIUM
2848,550,F,87135.87,1992-08-21,4-NOT SPECIFIED
2849,658,P,51448.86,1998-08-25,3-MEDIUM
2850,815,P,69194.49,1993-11-04,3-MEDIUM
2851,612,F,86834.81,1992-07-22,3-MEDIUM
2852,202,O,52170.29,1992-01-03,4-NOT SPECIFIED
2853,838,P,60871.51,1994-02-13,2-HIGH
2854,142,P,69752.27,1998-06-24,4-NOT SPECIFIED
2855,104,P,10229.14,1998-03-24,3-MEDIUM
2856,405,P,16011.09,1998-06-17,4-NOT SPECIFIED
2857,234,O,20569.61,1995-06-03,5-LOW
2858,64,P,30038.16,1998-11-17,1-URGENT
2859,322,O,95360.2,1996-06-28,2-HIGH
2860,295,P,2130.94,1993-01-13,2-HIGH
2861,549,P,63532.52,1997-06-01,1-URGENT
2862,407,P,35436.94,1995-08-03,5-LOW
2863,662,O,5915.12,1996-02-24,5-LOW
2864,310,P,89477.79,1994-09-23,1-URGENT
2865,852,O,44704.84,1994-02-23,2-HIGH
2866,138,F,72104.51,1993-05-12,4-NOT SPECIFIED
2867,476,F,80510.12,1998-04-09,1-URGENT
2868,804,O,57551.29,1992-05-14,2-HIGH
2869,465,P,35248.57,1996-02-12,4-NOT SPECIFIED
2870,429,O,23325.25,1993-03-23,5-LOW
2871,524,O,55179.21,1998-12-04,2-HIGH
2872,237,F,90019.81,1997-08-10,3-MEDIUM
2873,2,F,79110.49,1992-12-12,4-NOT SPECIFIED
2874,483,O,44371.47,1992-01-19,3-MEDIUM
2875,833,O,19903.57,1993-05-25,2-HIGH
2876,765,F,86035.29,1997-12-23,3-MEDIUM
2877,638,O,54626.98,1995-12-24,4-NOT SPECIFIED
2878,26,F,86692.39,1993-02-21,4-NOT SPECIFIED
2879,676,O,89473.51,1996-01-23,2-HIGH
2880,133,F,69868.62,1993-11-14,4-NOT SPECIFIED
2881,661,P,72897.8,1996-02-07,5-LOW
2882,578,O,44561.37,1996-04-10,2-HIGH
2883,202,O,58525.64,1997-08-21,2-HIGH
2884,417,O,53477.66,1996-05-23,4-NOT SPECIFIED
2885,863,P,20841.62,1995-01-21,4-NOT SPECIFIED
2886,541,O,22213.43,1998-03-16,1-URGENT
2887,65,F,97633.18,1993-01-17,3-MEDIUM
2888,47,P,21583.57,1996-03-28,1-URGENT
2889,273,P,97848.05,1996-04-22,4-NOT SPECIFIED
2890,356,O,56461.24,1997-01-16,1-URGENT
2891,500,F,79844.25,1994-03-25,5-LOW
2892,896,O,30468.17,1997-11-13,1-URGENT
2893,192,P,49759.3,1996-11-26,2-HIGH
2894,218,F,76657.36,1994-01-19,1-URGENT
2895,455,P,2057.08,1998-11-17,5-LOW
2896,131,O,99403.22,1998-07-25,3-MEDIUM
2897,593,O,73946.79,1993-04-05,5-LOW
2898,871,O,25121.08,1996-08-07,1-URGENT
2899,70,O,94139.46,1997-03-07,1-URGENT
2900,833,P,44740.23,1993-08-19,3-MEDIUM
2901,160,P,52897.81,1997-02-14,1-URGENT
2902,192,P,47500.17,1992-02-02,1-URGENT
2903,857,P,87195.92,1995-06-13,4-NOT SPECIFIED
2904,516,P,89891.71,1995-05-14,2-HIGH
2905,309,O,73582.57,1994-10-25,1-URGENT
2906,883,F,50441.48,1994-06-17,1-URGENT
2907,466,O,56977.1,1992-07-07,4-NOT SPECIFIED
2908,156,F,84966.56,1994-06-15,1-URGENT
2909,978,O,92206.0,1997-11-15,3-MEDIUM
2910,836,P,46032.99,1993-05-27,1-URGENT
2911,134,F,69742.51,1992-03-06,5-LOW
2912,197,O,36545.62,1997-07-01,2-HIGH
2913,113,F,64290.93,1995-08-08,5-LOW
2914,947,P,30000.96,1993-05-28,2-HIGH
2915,895,O,83166.14,1996-05-07,3-MEDIUM
2916,63,P,24391.02,1994-06-14,1-URGENT
2917,57,O,74504.91,1993-02-03,1-URGENT
2918,494,O,81732.95,1995-08-23,2-HIGH
2919,457,O,7415.88,1995-06-15,3-MEDIUM
2920,344,P,42144.0,1997-11-24,1-URGENT
2921,578,P,16504.15,1996-03-17,4-NOT SPECIFIED
2922,334,P,74949.57,1993-06-04,4-NOT SPECIFIED
2923,250,P,73083.66,1995-04-24,4-NOT SPECIFIED
2924,342,O,84428.36,1998-04-22,5-LOW
2925,690,F,64938.38,1994-05-26,4-NOT SPECIFIED
2926,316,F,45838.66,1995-05-24,2-HIGH
2927,267,P,24614.04,1996-11-08,4-NOT SPECIFIED
2928,558,F,33940.26,1992-10-13,3-MEDIUM
2929,243,P,14376.98,1994-06-04,4-NOT SPECIFIED
2930,888,O,37692.92,1993-04-21,1-URGENT
2931,473,O,76909.82,1995-05-21,3-MEDIUM
2932,930,O,81494.83,1994-06-16,1-URGENT
2933,630,O,35741.53,1995-10-19,1-URGENT
2934,651,F,99264.79,1995-07-20,2-HIGH
2935,37,O,74088.99,1995-02-14,3-MEDIUM
2936,127,O,49052.66,1997-02-03,1-URGENT
2937,307,O,52955.81,1996-05-06,1-URGENT
2938,118,F,98568.47,1996-11-07,1-URGENT
2939,980,O,1953.25,1995-10-10,5-LOW
2940,184,F,6070.98,1993-08-15,2-HIGH
2941,367,O,81508.4,1992-09-24,3-MEDIUM
2942,463,F,60879.22,1998-09-08,5-LOW
2943,8,P,59144.67,1996-04-12,2-HIGH
2944,245,O,28009.1,1993-04-12,2-HIGH
2945,102,P,98645.85,1994-12-05,2-HIGH
2946,661,F,71703.84,1995-08-13,2-HIGH
2947,540,P,53072.61,1994-07-04,2-HIGH
2948,617,P,98837.48,1992-11-17,1-URGENT
2949,425,F,15923.23,1995-09-08,1-URGENT
2950,88,P,32570.12,1992-01-23,3-MEDIUM
2951,20,O,80773.11,1994-08-22,5-LOW
